id;cnp_cui_client;nume_asigurat;prenume_asigurat;tip_asigurat;telefon;email;user_identifier
1;reciprocal withdrawal;synthesize compressing;multi-byte Administrator;F;array;Grant_Hahn99@gmail.com;Market Integration
2;Oregon Handcrafted;Internal online;neural vortals;J;virtual;Verda77@hotmail.com;morph index
3;Cambridgeshire Customer-focused;Associate Taiwan;Mouse;J;Mill Licensed Music;Amani90@yahoo.com;Multi-layered Hryvnia
4;orange;hub encoding Cape;Division Corporate;F;bandwidth Wisconsin;Reyna.Friesen62@hotmail.com;Plastic Small
5;Automotive Fantastic Ball;Pants;Market Gorgeous;J;Nicaragua Executive;Sandra_Wisozk@yahoo.com;COM Licensed Strategist
6;Account Branding;Checking;feed;J;Berkshire SQL Fresh;Everardo.Hermiston@hotmail.com;Regional Central
7;Director;gold Japan;hacking;J;index;Forest60@yahoo.com;Savings program hack
8;Dinar withdrawal navigate;synthesize;revolutionary bus;F;Oregon Ohio Monaco;Kelsi_Jenkins18@yahoo.com;Loan Officer Money
9;Chair vortals SMS;Korean Berkshire compressing;Mill parse;F;Passage;Jaiden.Howell@yahoo.com;morph Sleek eyeballs
10;Health 24/7 GB;Health Configuration;generating Leu implement;F;models;Zechariah.Considine@hotmail.com;Assistant Product
