id;cnp_cui_client;nume_asigurat;prenume_asigurat;tip_asigurat;telefon;email;im_code
1;secondary Soft RSS;Shoes;and Representative;F;Loan Marketing;Viviane_Heller@gmail.com;Philippine synthesizing index
2;methodology programming;hacking one-to-one;copy;F;hack Ball;Will_Gerlach@yahoo.com;JSON
3;projection;purple Hat primary;Maryland bus focus;F;Outdoors card;Alexandrine90@gmail.com;Cambridgeshire
4;plug-and-play;salmon Dram Trinidad;Granite Plaza;J;e-tailers Cambridgeshire JSON;Dawson.Haley24@yahoo.com;quantify Nevada teal
5;Communications;Intuitive;Frozen Bedfordshire;F;Chair pink turquoise;Elias_Simonis5@gmail.com;invoice parsing magenta
6;Missouri Generic;compress;Taka;J;Park;Robin87@gmail.com;Malawi Samoa
7;frictionless infomediaries;overriding invoice;connect Nevis Wooden;J;New up Loan;Llewellyn_Predovic65@gmail.com;integrated backing Rustic
8;olive Plastic;blue payment input;asynchronous Horizontal;J;facilitate Oklahoma Administrator;Gwendolyn.Lowe3@yahoo.com;bypassing Investor sky
9;salmon;red;Frozen;J;Maryland Chicken;Mckenzie.Miller@gmail.com;users
10;cross-media;schemas Louisiana 24/7;array Visionary Wyoming;J;clicks-and-mortar Colorado;Prudence_Schuster49@hotmail.com;SQL bandwidth Soap
